timestamp	video_id	upload_date	views	likes	comments	shares	bookmarks	duration	link	title
1691117717.4867232	7258722197764721926	259200	35800	150	424	3510	2023-07-22 12:09:25-07:00	19	https://www.tiktok.com/@6738999731529516038/video/7258722197764721926	b'Fit check \xf0\x9f\xa4\x9d\xf0\x9f\x8f\xbc'
1691117717.4867232	7250134291294833926	35600	2501	25	41	137	2023-06-29 08:43:55-07:00	9	https://www.tiktok.com/@6738999731529516038/video/7250134291294833926	b'Eid Mubarak \xe2\x9c\xa8'
1691117717.4867232	7248298011388939526	22600	816	9	26	112	2023-06-24 09:58:16-07:00	91	https://www.tiktok.com/@6738999731529516038/video/7248298011388939526	b'Mera wala dance \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc'
1691117717.4867232	7247263105556794630	28100	1564	32	18	128	2023-06-21 15:02:20-07:00	14	https://www.tiktok.com/@6738999731529516038/video/7247263105556794630	b'Our mehndi fit check \xf0\x9f\xab\xa1'
1691117717.4867232	7246462006255979782	12500	226	3	7	24	2023-06-19 11:13:37-07:00	78	https://www.tiktok.com/@6738999731529516038/video/7246462006255979782	b'Replying to @omarazammm  '
1691117717.4867232	7246059185899670790	11700	233	4	4	19	2023-06-18 09:10:26-07:00	58	https://www.tiktok.com/@6738999731529516038/video/7246059185899670790	b'Replying to @uzair khan  @quickstyle pt 2 '
1691117717.4867232	7245721069619825925	28400	1347	17	26	131	2023-06-17 11:18:24-07:00	62	https://www.tiktok.com/@6738999731529516038/video/7245721069619825925	b'Brothers/Cousins @quickstyle dance pt1 '
1691117717.4867232	7243891920836054278	37900	1681	17	100	228	2023-06-12 13:00:22-07:00	86	https://www.tiktok.com/@6738999731529516038/video/7243891920836054278	b'Made this up the night before at 3am \xf0\x9f\x98\x85'
1691117717.4867232	7243492702568910085	84000	6791	53	125	276	2023-06-11 11:11:11-07:00	8	https://www.tiktok.com/@6738999731529516038/video/7243492702568910085	b'Meet the Wife \xf0\x9f\x92\x8d'
1691117717.4867232	7236549575299861766	15100	268	8	8	18	2023-05-23 18:08:19-07:00	16	https://www.tiktok.com/@6738999731529516038/video/7236549575299861766	b'outside'
1691117717.4867232	7234216117743422725	19600	797	14	20	39	2023-05-17 11:13:18-07:00	11	https://www.tiktok.com/@6738999731529516038/video/7234216117743422725	b'Amigos in Mehiko \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd'
1691117717.4867232	7225296319072455962	510800	55900	365	1062	2501	2023-04-23 10:19:56-07:00	9	https://www.tiktok.com/@6738999731529516038/video/7225296319072455962	b'Top G Grandma'
1691117717.4867232	7224988741314645275	97700	9151	66	45	356	2023-04-22 14:26:24-07:00	28	https://www.tiktok.com/@6738999731529516038/video/7224988741314645275	b'Eid Mubarak from the Khans \xf0\x9f\xa5\xb3\xe2\x9c\xa8'
1691117717.4867232	7182766125539790085	19300	631	3	7	22	2022-12-29 18:41:08-08:00	7	https://www.tiktok.com/@6738999731529516038/video/7182766125539790085	b'\xe2\x9c\x8c\xf0\x9f\x8f\xbc '
1691117717.4867232	7175571790373178630	22400	459	7	7	22	2022-12-10 09:23:23-08:00	7	https://www.tiktok.com/@6738999731529516038/video/7175571790373178630	b'Wtf is wrong with my lip in the last pic bro..'
1691117717.4867232	7164904361938668806	11700	366	7	7	13	2022-11-11 15:28:20-08:00	6	https://www.tiktok.com/@6738999731529516038/video/7164904361938668806	b'#CapCut \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbc\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbc'
1691117717.4867232	7152946073244290309	9385	425	7	4	25	2022-10-10 11:04:02-07:00	13	https://www.tiktok.com/@6738999731529516038/video/7152946073244290309	b'Gotham city.'
1691117717.4867232	7149576632032890118	11300	888	13	13	69	2022-10-01 09:08:53-07:00	12	https://www.tiktok.com/@6738999731529516038/video/7149576632032890118	b'Alhamdullilah.'
1691117717.4867232	7146988186990890245	33500	4189	28	50	218	2022-09-24 09:44:23-07:00	10	https://www.tiktok.com/@6738999731529516038/video/7146988186990890245	b'The Weeknd.'
